# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.93              Pass
2                       2.97              Pass
4                       2.89              Pass
8                       2.87              Pass
16                      2.85              Pass
32                      2.87              Pass
64                      2.97              Pass
128                     3.63              Pass
256                     3.62              Pass
512                     3.66              Pass
1024                    3.72              Pass
2048                    3.96              Pass
4096                    4.40              Pass
8192                    4.87              Pass
16384                   5.78              Pass
32768                  11.48              Pass
65536                  12.93              Pass
131072                 15.68              Pass
262144                 21.06              Pass
524288                 31.89              Pass
1048576                53.43              Pass
2097152                96.68              Pass
4194304               182.93              Pass
