# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.80
2                       1.79
4                       1.78
8                       1.78
16                      1.78
32                      1.78
64                      1.82
128                     1.82
256                     3.43
512                     3.25
1024                    4.25
2048                    4.63
4096                    5.20
8192                    2.01
16384                   2.08
32768                   2.30
65536                   2.71
131072                  3.56
262144                  5.15
524288                 13.61
1048576                37.39
2097152               102.11
4194304               231.12
