# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.87              Pass
2                       0.89              Pass
4                       0.89              Pass
8                       0.89              Pass
16                      1.11              Pass
32                      1.09              Pass
64                      1.14              Pass
128                     1.25              Pass
256                     1.34              Pass
512                     2.50              Pass
1024                    2.50              Pass
2048                    2.52              Pass
4096                    2.53              Pass
8192                    2.57              Pass
16384                   2.65              Pass
32768                   3.55              Pass
65536                   3.95              Pass
131072                  4.70              Pass
262144                  6.69              Pass
524288                 13.90              Pass
1048576                43.20              Pass
2097152               100.27              Pass
4194304               227.05              Pass
