# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.30
4                       0.60
8                       1.22
16                      2.44
32                      4.74
64                      9.82
128                    19.63
256                    39.02
512                    79.75
1024                  157.38
2048                  314.33
4096                  609.28
8192                  893.57
16384                2104.25
32768                3627.79
65536                6505.93
131072              12898.15
262144              24557.16
524288              42244.50
1048576             65001.87
2097152             90503.52
4194304            117074.14
