# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.26
4                       0.52
8                       1.03
16                      2.10
32                      4.20
64                      8.40
128                    16.01
256                    31.96
512                    63.69
1024                  124.66
2048                  243.88
4096                  473.96
8192                  914.40
16384                1691.17
32768                2515.64
65536                4069.27
131072               8038.79
262144              11387.34
524288              15360.83
1048576             23845.45
2097152             29367.44
4194304             36889.66
