# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.43
2                       0.88
4                       1.77
8                       3.53
16                      7.10
32                     14.17
64                     28.29
128                    56.44
256                   113.76
512                   225.61
1024                  449.08
2048                  883.52
4096                 1610.97
8192                 2751.12
16384                4516.99
32768                7170.24
65536               12303.81
131072              24102.76
262144              45521.87
524288              67735.06
1048576             91896.56
2097152            113870.57
4194304            138498.05
