# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
1                      25.50
2                      25.20
4                      25.13
8                      25.06
16                     24.82
32                     24.71
64                     24.71
128                    25.56
256                    25.24
512                    25.30
1024                   25.48
2048                   25.87
4096                   26.09
8192                   26.66
16384                  28.10
32768                  34.51
65536                  39.43
131072                 40.25
262144                 46.55
524288                 66.73
1048576                79.53
2097152               124.28
4194304               215.09
