# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
1                      13.32
2                      13.09
4                      13.00
8                      12.97
16                     12.94
32                     12.95
64                     12.88
128                    12.97
256                    12.91
512                    12.91
1024                   12.96
2048                   13.05
4096                   13.24
8192                   13.80
16384                  14.70
32768                  18.11
65536                  20.03
131072                 20.27
262144                 21.00
524288                 24.54
1048576                31.53
2097152                45.39
4194304                63.47
