# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.82
4                       3.77
8                       7.52
16                     15.34
32                     30.50
64                     62.07
128                   123.02
256                   245.67
512                   484.07
1024                  897.08
2048                 1821.89
4096                 3297.00
8192                 1017.05
16384                1805.87
32768               20241.15
65536               28217.04
131072              35340.75
262144              39773.82
524288              42344.08
1048576             44050.48
2097152             44729.02
4194304             45759.43
