# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.53
2                       3.28
4                       6.76
8                      13.58
16                     27.29
32                     54.54
64                    109.12
128                   216.85
256                   437.89
512                   860.55
1024                 1536.47
2048                 3116.72
4096                 5629.01
8192                11036.88
16384               18201.04
32768               26292.10
65536               33598.41
131072              39029.48
262144              41871.58
524288              43496.97
1048576             44581.61
2097152             45308.70
4194304             45798.25
