# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.91
2                       1.89
4                       3.79
8                       7.67
16                     15.31
32                     30.62
64                     61.77
128                   122.60
256                   244.38
512                   477.73
1024                  902.57
2048                 1805.50
4096                 3427.13
8192                 6855.08
16384               13029.75
32768               20422.81
65536               28468.77
131072              35243.11
262144              39442.52
524288              42138.57
1048576             43954.47
2097152             44798.77
4194304             45607.79
