# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.52
2                       3.26
4                       6.59
8                      13.55
16                     27.15
32                     54.12
64                    108.09
128                   213.58
256                   435.72
512                   850.16
1024                 1503.47
2048                 3106.16
4096                 5279.88
8192                 1082.22
16384                1921.11
32768                6719.19
65536               13098.82
131072              26479.12
262144              43285.23
524288              44386.39
1048576             45072.19
2097152             45219.21
4194304             45945.30
