# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.84
4                       3.79
8                       7.65
16                     15.34
32                     30.65
64                     62.21
128                   122.87
256                   243.32
512                   477.29
1024                  891.11
2048                 1813.11
4096                 3246.32
8192                 1010.97
16384                1810.33
32768                6001.80
65536               11750.80
131072              23945.85
262144              40676.08
524288              42893.89
1048576             44317.69
2097152             45092.30
4194304             45683.10
