# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.84
4                       3.80
8                       7.62
16                     15.15
32                     30.11
64                     61.01
128                   120.13
256                   243.27
512                   474.45
1024                  878.80
2048                 1786.79
4096                 3225.63
8192                 6458.49
16384               12468.88
32768               20436.98
65536               28418.00
131072              35207.14
262144              39428.21
524288              42261.14
1048576             43846.01
2097152             44890.44
4194304             45739.96
