
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       6.16
2                      12.44
4                      25.33
8                      49.36
16                     99.92
32                    202.67
64                    298.11
128                   652.35
256                   472.54
512                  1018.60
1024                 2465.50
2048                 4251.81
4096                 8312.88
8192                29247.06
16384               41186.28
32768               57890.64
65536               75855.28
131072              89704.97
262144              86547.37
524288              70841.21
1048576             59137.88
2097152             55592.19
4194304             52709.72
