
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       6.15
2                      12.41
4                      24.77
8                      49.54
16                     95.97
32                    198.53
64                    300.24
128                   646.10
256                   567.89
512                  1096.41
1024                 2579.77
2048                 4271.71
4096                 7624.26
8192                28813.42
16384               41620.69
32768               59092.72
65536               76262.12
131072              90338.02
262144              85379.12
524288              66232.43
1048576             55186.47
2097152             55691.40
4194304             53664.12
