
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      12.84
2                      26.77
4                      53.33
8                     107.01
16                    201.52
32                    405.68
64                    393.67
128                   600.52
256                  1290.08
512                  2753.59
1024                 5475.89
2048                10718.60
4096                20921.76
8192                36864.69
16384               39847.20
32768               57253.83
65536               77151.45
131072              88333.89
262144              86520.80
524288              68188.56
1048576             59724.55
2097152             56978.15
4194304             54818.68
