
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.58
2                       0.59
4                       0.57
8                       0.59
16                      0.58
32                      0.59
64                      0.59
128                     0.61
256                     0.95
512                     0.95
1024                    0.97
2048                    1.16
4096                    1.22
8192                    0.65
16384                   0.78
32768                   1.00
65536                   1.35
131072                  1.86
262144                  3.00
524288                  5.86
1048576                18.01
2097152                37.23
4194304                72.96
