
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.68
2                       0.64
4                       0.67
8                       0.65
16                      0.64
32                      0.64
64                      0.64
128                     0.61
256                     0.93
512                     0.95
1024                    0.96
2048                    1.16
4096                    1.25
8192                    0.65
16384                   0.76
32768                   0.98
65536                   1.36
131072                  1.89
262144                  3.00
524288                  8.63
1048576                18.13
2097152                37.11
4194304                71.38
