
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.39
2                       0.38
4                       0.38
8                       0.38
16                      0.45
32                      0.44
64                      0.45
128                     0.45
256                     0.46
512                     0.64
1024                    0.64
2048                    0.65
4096                    0.66
8192                    0.69
16384                   0.75
32768                   0.96
65536                   1.32
131072                  1.89
262144                  3.00
524288                  7.90
1048576                18.22
2097152                36.70
4194304                72.44
