
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.23
2                       9.32
4                      17.06
8                      37.13
16                     73.95
32                    152.25
64                    223.37
128                   463.55
256                   397.16
512                   844.94
1024                 1946.89
2048                 2837.34
4096                 5456.75
8192                23730.94
16384               36479.85
32768               54670.07
65536               74131.06
131072              79084.73
262144              70619.21
524288              46549.30
1048576             41676.16
2097152             42031.36
4194304             40266.76
