
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.39
2                       9.13
4                      16.84
8                      35.06
16                     74.14
32                    151.54
64                    206.81
128                   449.78
256                   440.45
512                   946.12
1024                 1986.71
2048                 2810.77
4096                 5701.64
8192                23662.58
16384               35404.38
32768               51163.31
65536               69628.76
131072              79004.34
262144              69232.90
524288              44944.59
1048576             43827.71
2097152             39695.17
4194304             40841.48
