
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       9.84
2                      19.81
4                      39.55
8                      78.11
16                    141.74
32                    288.42
64                    260.54
128                   420.90
256                   983.62
512                  1967.31
1024                 3574.20
2048                 6914.46
4096                13179.59
8192                28837.42
16384               31602.13
32768               46545.95
65536               67343.65
131072              76023.24
262144              68833.97
524288              46112.09
1048576             43404.13
2097152             40778.92
4194304             41168.96
