
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.95
2                       0.95
4                       0.94
8                       0.97
16                      0.94
32                      0.94
64                      0.97
128                     0.92
256                     1.44
512                     1.43
1024                    1.53
2048                    1.63
4096                    1.71
8192                    1.00
16384                   1.08
32768                   1.45
65536                   1.83
131072                  2.30
262144                  3.47
524288                  6.52
1048576                19.09
2097152                37.17
4194304                71.81
