
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.96
2                       0.95
4                       0.96
8                       0.93
16                      0.94
32                      0.94
64                      1.01
128                     0.93
256                     1.42
512                     1.46
1024                    1.54
2048                    1.64
4096                    1.71
8192                    1.00
16384                   1.09
32768                   1.40
65536                   1.81
131072                  2.28
262144                  3.39
524288                  6.21
1048576                19.01
2097152                37.04
4194304                71.79
