
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.55
2                       0.55
4                       0.55
8                       0.55
16                      0.66
32                      0.66
64                      0.67
128                     0.68
256                     0.73
512                     0.98
1024                    0.99
2048                    0.99
4096                    1.01
8192                    1.04
16384                   1.09
32768                   1.49
65536                   1.86
131072                  2.45
262144                  3.57
524288                 10.70
1048576                18.73
2097152                37.10
4194304                71.90
